title,brand,rating,reviews,price,image_url,product_url,sponsored
HUG 'n' FEEL SOFT TOYS for Kids for Gift | Teddy Bear | Stuffed Plush Toys | Soft Fur | Hypoallergenic | Bpa Free | Children Friendly Plush & Stuffed Toys (Size 18 cm| Color Pink),Sponsored,3,1,284,https://m.media-amazon.com/images/I/61heZitqCpL._AC_UL320_.jpg,N/A,TRUE
"MADHUBALA 3 Feet Teddy Bear – Red Colour Soft Toy for Girls, Kids & Babies | Best Gift for Valentine’s, Birthday & Anniversary",Sponsored,0,395,395,https://m.media-amazon.com/images/I/611Y6eiMDYL._AC_UL320_.jpg,N/A,TRUE
Tickles Rottweiler Dog Soft Stuffed Animal Plush Toy for Kids Boys & Girls (Size: 25 cm Color: Black),Sponsored,3.4,137,398,https://m.media-amazon.com/images/I/51Rr5S9dR5L._AC_UL320_.jpg,N/A,TRUE
"HOMECUTE Ultra Soft Teddy Bear for Kids, Kid's Toys Panda, Lovable Huggable Cute Soft Teddy Bear, Cute Panda for Baby/Kids (Pink)",Sponsored,0,299,299,https://m.media-amazon.com/images/I/61pRZlx6aWL._AC_UL320_.jpg,N/A,TRUE
"Toys Guru Ultra Soft Lovable & Huggable 2 Feet Teddy for Kids Baby Girl and Boy, Wife, Girlfriend for Birthday Wedding Anniversaries and Valentines Day Gift (Blue)",Sponsored,2.9,11,395,https://m.media-amazon.com/images/I/41ju5KbhVCL._AC_UL320_.jpg,N/A,TRUE
Mashes Soft Toys for Girls Soft Dolls for Girls Soft Toy Doll Stuffed Toys for Girls Stuffed Doll for Girls Plush Doll Big Size (Winky Doll)(55 CM),Sponsored,3.1,6,599,https://m.media-amazon.com/images/I/41tZyv5wXxL._AC_UL320_.jpg,N/A,TRUE
"Crispy Toys-Bunny Cap Soft Toy for Girl's Boy's & Kids Playing Stuffed Baby Soft Toy Doll Toy for Birthdays Gift, Home Decoration etc. Color: Blue Size: 30 cm Long",Sponsored,5,3,349,https://m.media-amazon.com/images/I/51L3AI3E1eL._AC_UL320_.jpg,N/A,TRUE
"Vaishno Unicorn Soft Toy for Kids Animal Cute Lovely Cartoon Lovable Hugable Birthday Gift Babies, Girls, Boy, Home Decor (Size -70cm Pink) Valentine Day",Sponsored,2.5,12,799,https://m.media-amazon.com/images/I/51qWawOU-EL._AC_UL320_.jpg,N/A,TRUE
"AVS Teddy Bear Stuffed Unicorn Toy (70 Cm, Pink) Valentine Day",Sponsored,3.4,38,755,https://m.media-amazon.com/images/I/512TJJcOBbL._AC_UL320_.jpg,N/A,TRUE
Tickles German Shepherd Dog Soft Stuffed Plush Animal Toy for Kids Boys Girls (Size: 22 cm Color: Black and Brown),Sponsored,3.9,85,399,https://m.media-amazon.com/images/I/71SbTTS+rSL._AC_UL320_.jpg,N/A,TRUE
NISHAD CREATIONS Adorable Soft Stuff Animal Sitting Floppy Elephant Plush Toy Great for Kids (Grey) 40 Cm,Sponsored,0,778,778,https://m.media-amazon.com/images/I/51tz4Y9-Z7L._AC_UL320_.jpg,N/A,TRUE
Amazon Brand - Jam & Honey Quack Quack Duck with Bow | Soft Cuddly Toy for Kids | Sound Toy | BIS Certified | Yellow,Sponsored,0,1199,1199,https://m.media-amazon.com/images/I/51aFsRSvh1L._AC_UL320_.jpg,N/A,TRUE
"HUG 'n' FEEL SOFT TOYS Long Soft Lovable hugable Cute Giant Life Size Teddy Bear Plush & Stuffed Toys (25cm, Cute Doll Pink)",Sponsored,1,1,549,https://m.media-amazon.com/images/I/51u-8DiI9FL._AC_UL320_.jpg,N/A,TRUE
"Green Turtle Soft Plush Toy for Kids – Cuddly Stuffed Animal for Toddlers, Hug-Friendly, Safe & Washable Toy for Boys & Girls – 25 cm",Sponsored,0,299,299,https://m.media-amazon.com/images/I/61NMWlQufxL._AC_UL320_.jpg,N/A,TRUE
CloudPeakEnt 35 CM Grey Husky Dog Soft Toy – Super Soft Plush Puppy Stuffed Animal with Glitter Eyes for Kids Girls Boys & Adults – Cute Dog Doll for Birthday Gift Room Decor & Cuddles,Sponsored,0,336,336,https://m.media-amazon.com/images/I/61u1yA8j4mL._AC_UL320_.jpg,N/A,TRUE
"Aldea Breathing Teddy Bear with Music for Baby Sensory Sleep Lights Rhythmic Soft Toy, Lights and Breathing Motion, Best Gift for Kids Stuffed Animal for Newborn Babies",Sponsored,0,999,999,https://m.media-amazon.com/images/I/71OgIUQPYuL._AC_UL320_.jpg,N/A,TRUE
CloudPeakEnt Cute Baby Lion Soft Toy – 35 CM Plush Jungle Animal for Kids | Soft & Cuddly Wild Cat Toy for Boys & Girls | Symbol of Courage & Care | Gift for All Occasions,Sponsored,0,499,499,https://m.media-amazon.com/images/I/61914xUyB8L._AC_UL320_.jpg,N/A,TRUE
"Avocado Soft Toy, Plush Toys, Soft Toys for Kids | Soft Toy for Baby Boys and Girls | Cute Toy | 35 cm Stuff Toy for Kids | Cute Cuddle Pillow for All Ages",Sponsored,4.5,8,414,https://m.media-amazon.com/images/I/51FihbtDzpL._AC_UL320_.jpg,N/A,TRUE
"Asmita Enterprise Soft Toy Baby Soothing Teddy Bear | Soft Plush Toy with Light & Music, Gentle Breathing Simulation | Perfect for Babies & Kids – 0nly Grey Color",Sponsored,5,2,879,https://m.media-amazon.com/images/I/719JIW8XYXL._AC_UL320_.jpg,N/A,TRUE
"HUG 'n' FEEL SOFT TOYS Loveable HUGABLE Soft Giant Life Size, Long Huge Teddy BearPlush & Stuffed Toys (Best for Someone Special) Cream 4 Feet 120 cm with Free Heart Shape CUSION",Sponsored,3.6,30,1078,https://m.media-amazon.com/images/I/71cgD+ctLHL._AC_UL320_.jpg,N/A,TRUE
SOPTOOL Breathing Teddy Otter Glowing Music for Baby Sensory Sleep Lights Rhythmic Simulation Plush for Babies Kids Soothing Sound & Décor Item Specially for Valentine Gift,Sponsored,0,629,629,https://m.media-amazon.com/images/I/71l8LOwjxtL._AC_UL320_.jpg,N/A,TRUE
"Wild Republic Cuddlekin Three Toed Sloth Plush (12-Inch), Beige",Sponsored,4.6,12062,1057,https://m.media-amazon.com/images/I/81RjNzaFkGL._AC_UL320_.jpg,N/A,TRUE
MADHUBALA Rabbit with Chain Reversible Bunny Soft Toy | Plush Stuffed Animal for Kids – Strawberry/Carrot Shape (Pink),Sponsored,1,1,283,https://m.media-amazon.com/images/I/416CTBD7vDL._AC_UL320_.jpg,N/A,TRUE
"Wild Republic Beaver Plush, Stuffed Animal, Plush Toy, Gifts for Kids, Cuddlekins 8 Inches,Multi",Sponsored,4.7,1450,623,https://m.media-amazon.com/images/I/71lkHCpwHfL._AC_UL320_.jpg,N/A,TRUE
Tickles Beagle Sitting Dog Soft Stuffed Plush Animal for Kids Boys & Girls (Color: White 1 Size: 44 cm),Sponsored,3.8,1225,798,https://m.media-amazon.com/images/I/61Cu222gHZL._AC_UL320_.jpg,N/A,TRUE
Storescent Soft Toys for Kids - Stuffed Animal Plush Soft Toy for Boys & Girls | Strawberry Bear 45cm,Sponsored,4.1,1740,699,https://m.media-amazon.com/images/I/71wKkkeKfpL._AC_UL320_.jpg,N/A,TRUE
"AVSHUB Teddy Bear Plush Stuffed Animal, Cute Teddy Bear with Rose, Sweet Rose Bear Gift for Your Loved One, Teddy Bear for Girlfriend Kids Birthday, Valentine, Christmas (13 inch, Brown)",Sponsored,4,5,660,https://m.media-amazon.com/images/I/51E9WfTeELL._AC_UL320_.jpg,N/A,TRUE
"CHANT HARI Sleeping Cat Plush Toy with Realistic Meow Sound Soft Stuffed Toy for Children, Car Dashboard & Office Desk Decor | Lifelike Fur Cat Sound Simulation Gift (Multicolor Pack of 1)",Sponsored,0,449,449,https://m.media-amazon.com/images/I/41uL2K-BHQL._AC_UL320_.jpg,N/A,TRUE
VOIDROP Cute Sitting Appu Elephant Soft Toy for Kids Fibre Filled Stuffed Animal Elephant Baby Soft Pillow Toy for Toddlers | Supper Soft Toy Teddy Bear for Kids Gift Animal Stuff (28cm),Sponsored,0,399,399,https://m.media-amazon.com/images/I/819ayr52dQL._AC_UL320_.jpg,N/A,TRUE
LOVEY DOVEY Super Soft Toys Long Soft Lovable Huggable Cute Giant Life Size Teddy Bear easly Washable 100% Child Safe Best Gift for Birthday Gift Valentine Gift for Girlfriend 4 FEET Chocolate,Sponsored,3.8,943,1199,https://m.media-amazon.com/images/I/61L1xFaPmLL._AC_UL320_.jpg,N/A,TRUE
"RVA Plushie Kitty Pink Soft Toy Skin Friendly Ultra Soft Animal Toys Birthday Gift for Baby Boy, Kids, Girl, Girlfriend (Size 20 cm)",Sponsored,3.7,16,449,https://m.media-amazon.com/images/I/31Ra6waL9TL._AC_UL320_.jpg,N/A,TRUE
"Storescent Reversible Carrot Bunny Plush Toy, Adorable & Versatile Stuffed Animal with Zipper - Soft Rabbit Toy, Pillow & Decorative Gift (Carrot Bunny 35cm)",Sponsored,4.1,1740,449,https://m.media-amazon.com/images/I/613ls7T9uaL._AC_UL320_.jpg,N/A,TRUE
